rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0031.jpg,12.4,0.8336,0.6672,1.0,1.0,8,8,False,True
2,frame_0067.jpg,26.8,0.7571,0.6643,0.75,1.0,7,6,False,True
3,frame_0075.jpg,30.0,0.7483,0.7376,0.625,0.96,6,5,False,True
4,frame_0074.jpg,29.6,0.7407,0.7813,0.5,1.0,8,4,False,False
5,frame_0077.jpg,30.8,0.7183,0.7096,0.625,0.88,8,5,False,False
6,frame_0073.jpg,29.2,0.7142,0.8033,0.375,1.0,8,3,False,False
7,frame_0116.jpg,46.4,0.6912,0.7884,0.75,0.36,7,6,False,True
8,frame_0292.jpg,116.8,0.6848,0.7495,0.5,0.8,5,4,False,True
9,frame_0071.jpg,28.4,0.6806,0.8113,0.25,1.0,5,2,False,False
10,frame_0287.jpg,114.8,0.6738,0.6256,0.75,0.68,7,6,False,True
11,frame_0126.jpg,50.4,0.6724,0.7408,0.5,0.76,7,4,False,True
12,frame_0078.jpg,31.2,0.6595,0.533,0.75,0.84,9,6,False,False
13,frame_0016.jpg,6.4,0.6532,0.6815,0.375,1.0,6,3,False,True
14,frame_0387.jpg,154.8,0.6531,0.7011,0.875,0.2,9,7,False,True
15,frame_0008.jpg,3.2,0.6416,0.6582,0.375,1.0,4,3,False,True
16,frame_0127.jpg,50.8,0.6389,0.6578,0.5,0.8,7,4,False,False
17,frame_0070.jpg,28.0,0.633,0.641,0.375,1.0,7,3,False,False
18,frame_0076.jpg,30.4,0.6304,0.5177,0.625,0.92,7,5,False,False
19,frame_0168.jpg,67.2,0.6304,0.6618,0.625,0.56,8,5,False,True
20,frame_0291.jpg,116.4,0.6241,0.6123,0.5,0.84,7,4,False,False
21,frame_0328.jpg,131.2,0.623,0.6889,0.875,0.08,12,7,False,True
22,frame_0286.jpg,114.4,0.6222,0.6884,0.5,0.64,8,4,False,False
23,frame_0007.jpg,2.8,0.6204,0.6159,0.375,1.0,4,3,False,False
24,frame_0330.jpg,132.0,0.6176,0.6942,0.875,0.04,8,7,False,False
25,frame_0288.jpg,115.2,0.6147,0.7163,0.375,0.72,7,3,False,False
26,frame_0277.jpg,110.8,0.61,0.733,0.625,0.28,7,5,False,False
27,frame_0396.jpg,158.4,0.6079,0.7768,0.625,0.16,9,5,False,False
28,frame_0002.jpg,0.8,0.6072,0.5144,0.5,1.0,8,4,False,False
29,frame_0376.jpg,150.4,0.6059,0.7728,0.625,0.16,7,5,False,False
30,frame_0278.jpg,111.2,0.6048,0.6316,0.75,0.32,7,6,False,False
31,frame_0014.jpg,5.6,0.6022,0.5044,0.5,1.0,4,4,False,False
32,frame_0300.jpg,120.0,0.6018,0.7116,0.5,0.48,6,4,False,False
33,frame_0388.jpg,155.2,0.5995,0.685,0.75,0.16,8,6,False,False
34,frame_0231.jpg,92.4,0.5971,0.8302,0.5,0.16,7,4,False,False
35,frame_0167.jpg,66.8,0.5937,0.6474,0.5,0.6,6,4,False,False
36,frame_0299.jpg,119.6,0.5877,0.6673,0.5,0.52,7,4,False,False
